Varchar(150),Varchar(150),Varchar(150),INT,Varchar(6),Varchar(50),Varchar(35),nvarchar(50),nvarchar(50),nvarchar(50),nvarchar(50),Varchar(50),,,Bit,"numeric(18,2)","numeric(18,2)",int,"numeric(18,2)",,Varchar(15)
SRI BHAVANI SALES CORPORATION,ASHWINI NAGAR  1ST. CROSS, ,HAVERI,581110,shreebhavanihaveri2000@gmail.com,9845333531,,,,,1001272,MG03,Distributor,,1,-327023,,,,
JAMSHEDPUR CONTINUOUS ANNEALING &,PROCESSING COMPANY PVT. LTD, ,JAMSHEDPUR, ,rsgatjsr@gmail.com,9204869639,,,,,1001285,MG04,Distributor,,1,0,,,,
PRAKASH ELECTRIC COMPANY,NEAR CONGRESS BHAWAN , ,AMRITSAR,143001,dua2901@gmail.com,98722475109,,,,,1001300,MG12,Distributor,,1,2079,,,,
GIGAPLEX ESTATE PRIVATE LIMITED,PLOT NO. IT-5  TTC INDUSTRIAL AREA, ,NAVI MUMBA,400708,hpanchal@kraheja.com, ,,,,,1001316,MG10,Distributor,,1,-819552,,,,
TULSI SWITCH GEARS,PLOT NO:2421/A  ROAD 40.2  SHOP NO:03, ,SURAT,395002,surat@tulsielectricals.com,9825198901,,,,,1001328,MG12,Distributor,,1,0,,,,
TULSI ELECTRICALS,SHOP NO:2  SERVICE COMPLEX , ,SURAT,394221,tulsi.gears@gmail.com,9825198902,,,,,1001329,MG12,Distributor,,1,0,,,,
GOLDEN CABLE CORPORATION,3/11  DEV INDUSTRIAL ESTATE  B/H. GORWA BIDC, ,VADODARA,390011,gcc11112@gmail.com,99799957579,,,,,1001330,MG12,Distributor,,1,0,,,,
DELHI DSW SOLUTIONS PVT. LTD,SECTOR-V  INDUSTRIAL AREA  BEHIND PRAGATI POWER PLANT, ,BAWANA,110039, , ,,,,,1001331,MG04,Distributor,,1,0,,,,
CHANDRAPUR SUPER THERMAL POWER STAT,MAHARASTRA STATE POWER GENERATION COMPANY LIMITED, ,CHANDRAPUR, , , ,,,,,1001332,MG04,Distributor,,1,957982,,,,
SAHIL TECH (INDIA) LTD,A 420 TTC INDUSTRIAL AREA  M.I.D.C., ,NAVI MUMBA,400703,accounts@sahilmoulds.com,7738794560,,,,,1001333, ,Distributor,,1,0,,,,
HINDUSTAN ZINC LTD,UNIT ZAWAR CPP STORES INCHARGE-ZAWAR CPP , ,UDAIPUR,313901, , ,,,,,1001334,MG04,Distributor,,1,0,,,,
ADVANCED ADHESIVES LTD.,207/1 ASTRAL HOUSE, ,AHMEDABAD,380054, , ,,,,,1200000, ,Distributor,,1,0,,,,
ASTRAL BIOCHEM PVT. LTD.,207/1 ASTRAL HOUSE, ,AHMEDABAD,380054, , ,,,,,1200001, ,Distributor,,1,-31805.2,,,,
NAMEE TRADERS,1 ANKUR COMPLEX POLICE HEAD QUARTER, ,VALSAD,396001,shreeramvalsad@yahoo.co.in,9825378021,,,,,1000443,MG08,Distributor,,3000000,-6440166,,,,
NATIONAL SANITATION,C/O HIRANANDANI RELATORS PVT.LTD. N, ,CHENNAI,603103,info@nationalsanitation.net, ,,,,,1000444,MG10,Distributor,,1,0,,,,
NUBERG ENGINEERING LIMITED,PLOT NO.-679 ROAD NO. 7 G.I.D.C EST, ,BHARUCH,339110, , ,,,,,1000445,MG04,Distributor,,1,4884,,,,
NATIONAL SANITATION,C/O HIRANANDANI REALTORS PVT LTD  P, ,BANGALORE,562110,info@nationalsanitation.net, ,,,,,1000446,MG10,Distributor,,1,-1289665,,,,
NEELANCHAL AASRAYA LLP,SALARPURIA SATTVA GROUP 4TH FLOOR , ,BANGALORE,560042, , ,,,,,1000447,MG03,Distributor,,1,0,,,,
NEW PRITAM AGENCY,SHOP NO-9  UJJWAL COMPLEX  OPP  BUS, ,AHMEDNAGAR,414001, ,84219229799,,,,,1000448,MG08,Distributor,,1,0,,,,
NATIONAL SANITATION,C/O ISHAN GROUP OF CLUBS & HOTELS P, ,UDAIPUR,313001,info@nationalsanitation.net, ,,,,,1000449,MG10,Distributor,,1,0,,,,
NAGPAL ELECTRICALS & MACHINERY STOR,SHOP NO.134 SIBBAL CINEMA ROAD , ,RUDRAPUR,263153, , ,,,,,1000450,MG08,Distributor,,1,7623,,,,
NOORI ENGINEERING COMPANY,NO.12-10-47 SHOP NO:9 RISHAB TOWERS, ,VIJAYAWADA,520001,nooriengineeringcompany@gmail.com, ,,,,,1000451,MG08,Distributor,,1,47079,,,,
NANDI DISTRIBUTORS,NO.214/A RANI MADRAS ROAD  HABBAL I, ,MYSORE,570018,ndnandi.astral@gmail.com, ,,,,,1000452,MG03,Distributor,,1,143255,,,,
ORCHID VENNERS & PLY,NEW B.J. MARKET  SHOP NO. 8 A WING , ,JALGAON,425001,orchidvnp@gmail.com,9822781830,,,,,1000453,MG10,Distributor,,2000000,150249,,,,
OCEAN MARINE INTERNATIONAL,F5  1ST FLOOR  UNITY CHS LTD  188 , ,MUMBAI,400003, , ,,,,,1000454,MG04,Distributor,,1,0,,,,
ORCHID DEWELLER PRIVATE LIMITED,OFFICE NO 4 & 5 GURU VATIKA  KAILAS, ,RANCHI,834001, , ,,,,,1000455,MG08,Distributor,,1,-953527,,,,
OM SAI CONSTRUCTION,SHOP NO 121 GUMIT NO 9 G.T. ROAD KA, ,KANPUR,208024, , ,,,,,1000456,MG07,Distributor,,1500000,0,,,,
OM SHREE,C-214 TIRUPATI VIHAR MANGYAWAS  MAN, ,JAIPUR,302020,omshree.jaipur@gmail.com,98879119119,,,,,1000457,MG08,Distributor,,2000000,-337887,,,,
ORIENT ELECTRIC & AGRO,OPP  PURSHOTTAM MARKET UNIT NO-1  D, ,SHAHADA,425409, , ,,,,,1000458,MG08,Distributor,,1,-3294,,,,
ORCHID SANITATION & CO.,2ND STREET  CHURCH ROAD , ,RANCHI,834001, ,9431115312,,,,,1000459,MG08,Distributor,,2000000,-5970,,,,
PENTAIR WATER INDIA PVT.LTD.,L52-55  VERNA INDUSTRIAL ESTATE  VE, ,GOA,403722, , ,,,,,1000461,MG04,Distributor,,1,8024.96,,,,
PHIROZE KARAKA & CO.,27  TAMARIND LANE  1ST FLOOR  BLOCK, ,MUMBAI,400001,karaka@vsnl.net, ,,,,,1000463,MG10,Distributor,,1,-263120,,,,
PALMS VALLEY CONSTRUCTIONS,AP 11/526C GREAT LAND  UGRAPURAM  A, ,MALAPPURAM,673639, , ,,,,,1000464,MG06,Distributor,,1,0,,,,
SWEETY IRON AND HARDWARE STORES,I.T.I CHOWK KHALSA COMPLEX  NR. PAR, ,ROURKELA,769004,sweetyironhardware@gmail.com, ,,,,,1000567,MG08,Distributor,,2000000,-113635,,,,
SUGANDHI CEMENT AGENCY,1200 NORTH KASBA    TILAK CHOWK , ,SOLAPUR,413007,girish123.enterprise@yahoo.com,95032877559,,,,,1000568,MG02,Distributor,,1,0,,,,
SHREE SHYAM PAINTS,S.C.O. 1 VILLAGE KUMBRA  SECTOR - 6, ,MOHALI,160055, , ,,,,,1000569,MG07,Distributor,,1,-356000,,,,
JYOTI SALES CORPORATION,PADTANI COMPLEX  NR.HOTEL JOSHI PAL, ,SANGAMNER,422605,jyoti_s67@yahoo.in, ,,,,,1000570,MG02,Distributor,,500000,5351.71,,,,
SATYA SALES,K.P. MISHRA PATH  KHAGAUL ROAD  DAN, ,PATNA,801503, , ,,,,,1000571,MG08,Distributor,,1,-129418,,,,
SUDHAKARAN NAIR & CO.PRIVATE.LTD.,ASHIRWAD 31/773 & 774  TAGORE ROAD , ,KOCHI,682019, , ,,,,,1000572,MG06,Distributor,,1,-763420,,,,
S.B.AJMERA & SONS,GALA NO. 3-4 JAI MATADI COMPOUND  V, ,MUMBAI,421302, ,9820007093,,,,,1000573,MG10,Distributor,,1,-354599.98,,,,
KITTURKAR TRADERS,SHOP N0 : 4 SHIVAJI MARKET BHADGAON, ,KOLHAPUR,416502,deepakkitturkar@gmail.com, ,,,,,1000574,MG02,Distributor,,1000000,26709,,,,
KAMAXI TRADERS,G-19 ANGARIKI SHOPPING COMPLEX  OPP, ,GOA,403401,rewankerd@gmail.com,9545074447,,,,,1000575,MG02,Distributor,,1000000,-110286,,,,
SREE RAMAKRISNA AGENCIES,331 SEKKALAI ROAD  OPP.KALI MARK , ,KARAIKUDI,630001, ,9443130916,,,,,1000576,MG09,Distributor,,1000000,-545010,,,,
SREE AADITYA TRADING CORPORATION,44-1 KALLANGUTHU STREET , ,SALEM,636001, , ,,,,,1000577,MG09,Distributor,,1500000,-41039,,,,
SEKAR ELECTRICALS,13 / 3 GOWARIPURAM  3RD CROSS  L.G., ,KARUR,639002, , ,,,,,1000578,MG09,Distributor,,2000000,-3513.5,,,,
LAXMI TRADING CO.,J-1/18 M-2 ROAD N-9  NR. T.V.CENTRE, ,AURANGABAD,431003,laxmitrading1999@gmail.com, ,,,,,1000579,MG02,Distributor,,500000,-2974.36,,,,
SHREE GOVIND BUILDNEED PVT. LTD.,C-30  DOCTORS BANGLOW  JHOTWARA ROA, ,JAIPUR,302016, , ,,,,,1000580,MG08,Distributor,,1,-537292.37,,,,
SILPA AGENCIES,HO:126 & 83  W.B.ROAD , ,TIRUCHIRAPPALLI,620008,silpaagencies@gmail.com, ,,,,,1000581,MG09,Distributor,,2000000,-196633.55,,,,
SATISH TRADING CORPORATION,5 GAJRAJ MENSION  BISTUPUR , ,JAMSHEDPUR,831001,satishtrading_corpn@rediffmail.com,9431763062,,,,,1000582,MG08,Distributor,,2500000,-1439349.63,,,,
SAI ENTERPRISES,E-85/11B FBD  GODOWN:5C/24 B.P.N.I., ,FARIDABAD,121001, , ,,,,,1000583,MG07,Distributor,,2400000,-3399604.5,,,,
S.P.ENTERPRISES,KARAKKAD (PO)  CHENGANNOOR, ,ALLEPPEY,689121, , ,,,,,1000584,MG06,Distributor,,1,0,,,,
S.P.SHARMA & SONS,SITE:INDIAN INSTITUTE OF SCIENCE ED, ,MOHALI,160002, , ,,,,,1000588,MG07,Distributor,,1,0,,,,
SAMIR CONSTRUCTION,1335  TALODA ROAD  MAHAVIR MARG , ,NANDURBAR,425412, , ,,,,,1000589,MG10,Distributor,,2000000,0,,,,
SAPTAGIRI ELECTRICALS & HARDWARES,L.G.ROAD  ISLAMPUR  DIST: KOPAL, ,GANGAVATI,583227,raghu_sapthagiri_gvt@gmail.com,9986482609,,,,,1000585,MG03,Distributor,,1000000,-214642,,,,
SAUBHAGYA,288/242 JAIN BHAWAN  ARYANAGAR, ,LUCKNOW,226004,saubhagyalucknow@gmail.com,89530038079,,,,,1000586,MG07,Distributor,,7000000,-7303105.38,,,,
SHREE PADMAVATI ENGINEERS (I) PVT.,C/O B.E.BILLIMORIA & CO.LTD.  YAMUN, ,DELHI,110095,pankaj@khodiyargroup.com, ,,,,,1000587,MG10,Distributor,,1,0,,,,
VISHAL STONEX & SANITARY,JAIN COLONY , ,DHULIYAN,742202,risshi_nav@yahoo.co.in,94340656189,,,,,1001335,MG08,Distributor,,1,0,,,,
FUTURA INDUSTRIAL S.A. DE C.V.,AVE. TODOS LOS SANTOS # 12402  PARQUE INDUSTRIAL PACIFICO , ,BAJA CALIF,CP-22644, , ,,,,,2000004,MG05,Distributor,,1,0,,,,
COPISA PROYECTOS Y MANTENIMIENTOS I,PI.D'EUROPA 2-4 TORRE COPISA  08902 L'HOSPITALET DE LLOBREG, ,BARCELONA,8902, , ,,,,,2000007,MG05,Distributor,,1,0,,,,
SABANGALI RESORTS SA - SALIM GROUP,QUARTIER DJAM BAL BARH 3EME ARRONDISSEMENT  (A COTE CENTRE, ,N'DJAMENA,34,whendika@stmi.com, ,,,,,2000008,MG05,Distributor,,1,0,,,,
FLUID PIPE ENGINEERING CO. LTD.,63/341 MOO 9 THEPHARAK ROAD  BANGPLEEYAI BANGPLEE , ,SAMUTPRAKA,10540, , ,,,,,2000009,MG05,Distributor,,1,0,,,,
SMART TRADE CONNECTIONS PVT LTD,NO.58 3 RD NORTH BEACH TOAD OFF RAJ, ,CHENNAI,600001,admin@smartmarine.in, ,,,,,2000012,MG05,Distributor,,1,0,,,,
TAJ MALDIVES PVT. LTD.,VIVANTA BY TAJ-CORAL REEF  P.O.BOX NO.-2117 NORTH MALE ATOL, ,NORTH MALE,8470, , ,,,,,2000016,MG05,Distributor,,1,0,,,,
JORDAN INDIA FERTILIZER COMPANY L.L,PO BOX: 2571 5TH FLOOR 98 WASFI AL-TEL STREET  OTOUM COMMER, ,AMMAN,11512, , ,,,,,2000023,MG05,Distributor,,1,0,,,,
TRANS GULF ELECTROMECHANICAL LLC,P.O.BOX 2432 , ,DUBAI,119311, , ,,,,,2000025,MG05,Distributor,,1,0,,,,
PT STAINLESS STEEL PRIMA VALVE MAJU,KAWASAN INDUSTRI DAN PERGUDANGAN CIKUPAMAS  JALAN MITRA  MAS, ,TANGERANG,15710,purchasing.import@spvmb.com, ,,,,,2000027,MG05,Distributor,,1,0,,,,
MULTIPRO ENTERPRISES LIMITED (HYPO,KM 5  ITOKIN ROAD   , ,IKORUDU  L,104101,ugendra.singh@tolaram.com, ,,,,,2000028,MG05,Distributor,,1,0,,,,
ALLIED VENTURES LTD.,B.P.323  NYARUGENGE, ,KIGALI,.,bhavesh@jandu.biz, ,,,,,2000030,MG05,Distributor,,1,-1515325.96,,,,
ATLANTA INDUSTRIES INC.,GROUND FLOOR GOLD HILL TOWER  #5 ANNAPOLIS STREET GREEN HIL, ,METRO MANI,1502, , ,,,,,2000035,MG05,Distributor,,1,0,,,,
ALLIED PLUMBERS LTD.,P.O.BOX.45268 , ,NAIROBI,100, , ,,,,,2000036,MG05,Distributor,,1,0,,,,
FIRE SAFETY & CARGO LP,85  DMITROSKOYE SHOSSE , ,MOSCOW,127238,aartemeva@ognebor.ru, ,,,,,2000038,MG05,Distributor,,1,0,,,,
UNITED CONTRACTING,P.O BOX. 24812, ,DOHA,.,chellappa@uccqatar.com, ,,,,,2000040,MG05,Distributor,,1,0,,,,
VA TECH WABAG LTD.,WABAG HOUSE NO17 200FT RADIAL ROAD., ,CHENNAI,600018, , ,,,,,1000799,MG04,Distributor,,1,-29528.41,,,,
VAIGAI INDUSTRIES (INDIA) PVT. LTD,NEDUNGADU COMMUNE, ,KARAIKAL,609603, , ,,,,,1000800,MG04,Distributor,,1,0,,,,
VIJAY STEEL TUBES & FITTINGS PVT. L,NO. 103  MADHURA CHAITANYA COMPLEX , ,HUBLI,580029, ,9379196703,,,,,1000801,MG03,Distributor,,1,0,,,,
VIJAY STEEL TUBES & FITTINGS PVT. L,# 216  CHELLAGOUNDER STREET  KATOOR, ,COIMBATORE,641009, , ,,,,,1000802,MG09,Distributor,,1,0,,,,
VIJAY STEEL TUBES & FITTINGS PVT. L,NO. 14  1ST FLOOR  4TH CROSS  LALBA, ,BANGALORE,560027, , ,,,,,1000803,MG03,Distributor,,1,0,,,,
VIJAY TRADERS,NEW NO-224/1 OLD NO-30  ARCOT ROAD , ,VELLORE,632004,vijaytradersvlr@gmail.com, ,,,,,1000804,MG09,Distributor,,1500000,-442323,,,,
JAYKUMAR STORES,96  THIRUCHENDUR ROAD  PALAYAMKOTTA, ,TIRUNELVELI,627002, , ,,,,,1000805,MG09,Distributor,,900000,7259,,,,
VIKAS TELECOM LTD. (SEZ),OUTER RING ROAD OFDEVARBISNALLI  VA, ,BANGALORE,560037, , ,,,,,1000806,MG03,Distributor,,1,1,,,,
VISAKHAPATNAM STEEL PLANT,MANAGER(STORES)  CENTRAL STORES DEP, ,VISAKHAPATNAM,530031, , ,,,,,1000807,MG04,Distributor,,1,0,,,,
VINPLAST CORPORATION (SOBHA),8/1156 D PAROOR BIDG R.C.ROAD  NEAR, ,CALICUT,673001, , ,,,,,1000808,MG03,Distributor,,1,-34872,,,,
VIJAY SALES,70/11 MISHRAN GALI  CHAKRAVARTI MOH, ,KURUKSHETRA,136118, , ,,,,,1000809,MG07,Distributor,,1,0,,,,
VA TECH WABAG LTD,BHAKTI PLAZA  2ND FLOOR  AUNDH, ,PUNE,411007, , ,,,,,1000810,MG04,Distributor,,1,0,,,,
VIJAY & COMPANY,NO. 216  CHELLAPA GOUNDER STREET  K, ,COIMBATORE,641009, , ,,,,,1000811,MG09,Distributor,,1,0,,,,
SAI SALES CORPORATION,MARKET YARD SHOPPING CENTER  A/P MA, ,SOLAPUR,413209,siddhanttraders69@yahoo.com,97630365559,,,,,1000812,MG02,Distributor,,1,0,,,,
SHREEJI CERAMICS,TOSHNIWALCOMPLEX NR. DR. WADKULE HO, ,PARBHANI,431401,shreejceramic77@gmail.com, ,,,,,1000813,MG02,Distributor,,1000000,-386441.9,,,,
VEDANT GRIHANIRMAN PVT LTD,SALARPURIA WINDSOR NO. 3  ULSOOR RO, ,BANGALORE,560042, ,9620240408,,,,,1000814,MG03,Distributor,,1,-2545078,,,,
VA TECH WABAG LTD.,HARSH ORCHID  NAGRAS ROAD  OFF. NEW, ,AUNDH,411007, , ,,,,,1000815,MG04,Distributor,,1,0,,,,
VA TECH WABAG LTD,NO.1-7-21/6  JAI SANTOSH NAGAR COLO, ,HYDERABAD,500007, , ,,,,,1000816,MG04,Distributor,,1,-366,,,,
VOLTAS LIMITED.,A/C. TCS LIMITED (PHASE 11)  KALIGA, ,BHUBANESWAR,751024, , ,,,,,1000820,MG04,Distributor,,1,0,,,,
VERMA PIPE STORE,LOHA MANDI , ,BATALA,143505,vermapipes@gmail.com,9872454091,,,,,1000821,MG07,Distributor,,1500000,126485.03,,,,
VA TECH WABAG LIMITED,11  MURRAY'S GATE ROAD  ALWARPET, ,CHENNAI,600018, , ,,,,,1000823,MG04,Distributor,,1,0,,,,
SONA PIPE STORE,MAA JALPA DEVI ROAD , ,KATNI,483501, , ,,,,,1000686,MG08,Distributor,,1,0,,,,
SURENDRA KUMAR SATYANARAYAN BOHRA,NEW MANDI , ,NARNAUL,123001,sksnbohra@reddiffmail.com,9416476668,,,,,1000687,MG08,Distributor,,2000000,-7035,,,,
S.A.R. DISTRIBUTORS,102-B- VIJAY NAGAR  KANPUR ROAD, ,LUCKNOW,226012, , ,,,,,1000688,MG07,Distributor,,2000000,-8302995,,,,
SRI MANJUNATHA SANITARY WARES,PARVATHI NAGAR MAIN ROAD  OPP. S.P., ,BELLARY,583101, ,9845223830,,,,,1000689,MG03,Distributor,,1000000,0,,,,
SUPREME TRADERS,BLOCK NO 5 RAJA CHEMBER  MURGUD ROA, ,NIPANI,591237,supremetradersnpn@gmail.com,9945104244,,,,,1000690,MG03,Distributor,,1,1716.97,,,,
SAHYADRI MACHINERY,NR. DHEBEWADI FATA (EAST)  MALKAPUR, ,MALKAPUR,415110, , ,,,,,1000691,MG08,Distributor,,1,0,,,,
SUN TECHNOLOGIES,23B  ROYAL ENCLAVE MANOVIKAS NAGAR , ,SECUNDERAB,500009, , ,,,,,1000692,MG09,Distributor,,1,2500,,,,
SUN SALES AGENCY,24 STRAND ROAD  GROUND FLOOR , ,KOLKATA,700001,pvc.ssa@gmail.com, ,,,,,1000693,MG08,Distributor,,1,29586,,,,
SAGAR CONCERN,C/O GOLDY ENTERPRISES NR. SYNDICATE, ,RAIPUR,492001, , ,,,,,1000694,MG08,Distributor,,2000000,-55791,,,,
STEEL TUBES,SAH MARKET  GURUDWARA ROAD , ,BHAGALPUR,812001,steeltubes.bgp@gmail.com, ,,,,,1000695,MG08,Distributor,,1500000,782208,,,,
SHANKARA INFRASTRUCTURE MATERIALS L,NO. 2538 & 2837 WORD NO 12  1ST MAI, ,TUMKUR,572101, ,9845498471,,,,,1000696,MG03,Distributor,,1000000,0,,,,
SHREE KHODIYAR ENGINEERS (I) PVT.LT,TATA CONSULTANCY SERVICES LTD.  10 , ,MUMBAI,400092,pankaj@khodiyargroup.com, ,,,,,1000697,MG10,Distributor,,1,-345608,,,,
SRI KRISHNA AGRICULTURE,SHOP NO. 115  PATEL CHAMBER  LATI B, ,VIRAMGAM,382150,shrikrishnaagri99@gmail.com, ,,,,,1000698,MG08,Distributor,,3500000,-571234,,,,
RATNAGIRI SALES CORPORATION,1219  A.H. PADVEKAR COMPLEX  PADVEK, ,RATNAGIRI,415639,rsctiles@gmail.com,2.34E+11,,,,,1000699,MG02,Distributor,,1,30502,,,,
SHREYAS TRADING COMPANY,SHOP NO. 11 FIRST FLR SHREE MALANG, ,THANE,421306, , ,,,,,1000700,MG08,Distributor,,2000000,-465,,,,
SHOOLINI WATER SERVICES,NR. VALMIKI MANDIR HOSPITAL ROAD SO, ,SOLAN,173212,amritumsws@gmail.com, ,,,,,1000701,MG07,Distributor,,1,11243,,,,
SEJAL ENTERPRISES,SURVEY NO. 39/2/1 NR. SAI PETROL PU, ,PUNE,412308,info@sejalenterprises.com,9422080371,,,,,1000702,MG08,Distributor,,2000000,-73552,,,,
SAUBHAGYA.,49/54 MOTI BAZAR , ,DEHRADUN,248001, , ,,,,,1000703,MG07,Distributor,,2000000,-2148672,,,,
SHAM TUBES,BALLI SINGH BHAGWAN SINGH ROAD  OUT, ,AMRITSAR,143001, ,9814032956,,,,,1000704,MG07,Distributor,,1500000,542174.72,,,,
SHOBHE KARTHIK ASSOCIATES,NO.3 TEGNOOR COMPLEX  JAYNAGAR CROS, ,GULBARGA,585105, , ,,,,,1000705,MG03,Distributor,,1000000,-977,,,,
VARDHAMAN MARKETING,D.NO.:-76-8-6/2 CRAMBWAY ROAD  NEAR, ,VIJAYAWADA,520012,markeing.vardhman@gmail.com,9393934516,,,,,1000817,MG01,Distributor,,1500000,-1848566,,,,
VIJAY SUBMERSIBLE SERVICE,NEAR SANT PRANAVRAM ASHRAM  AMBIKAN, ,KALOL,382721,vijay_ms_submersible@yahoo.com, ,,,,,1000818,MG08,Distributor,,1,10255,,,,
VISHANDAS VATTUMAL & SONS,42 J.M.P. MARKET , ,JALGAON,425001,vishandas.vattumalandsons@gmail.com, ,,,,,1000819,MG08,Distributor,,2000000,-55956,,,,
VINAYAK TRADERS,TOTA COLONY B/H TRIMURTI HOSPITAL , ,AHMEDABAD,382220,vinayaktraders118@yahoo.com, ,,,,,1000822,MG08,Distributor,,3000000,-536935.35,,,,
PRIME SANITARY & PIPES,45  RASULGARH , ,BHUBANESHW,751006,primesanitary@gmail.com, ,,,,,1001301,MG08,Distributor,,1,-416446,,,,
